Customer_ID,PAN_Number,Status,Duplicate
1,NKLOU6476Q,True,False
2,ABCDE12345,False,False
3,RRXDQ1351W,True,True
4,JMVNC3486V,True,False
5,TJCMS7769B,True,False
6,RRXDQ1351W,True,True
7,LHOBX3163G,True,False
8,WTNVY7503U,True,False
9,,False,False
10,YUVEP4895H,True,False
11,AB12E1234F,False,True
12,KEBRV2756U,True,False
13,LPFVC7858R,True,False
14,OSMIM8076L,True,False
15,abcde1234f,False,False
16,CQUOZ7095J,True,False
17,MEFYC5372Y,True,False
18,FZMJL4657F,True,False
19,AB12E1234F,False,True
20,KZAVQ6791W,True,False
